ccode,year,D1y,L1D1y,L2D1y,L3D1y,R_B,R_N,L1R_B,L2R_B,L3R_B,L1R_N,L2R_N,L3R_N,D1d_y,L1D1d_y,L2D1d_y,L3D1d_y,Fd1y,Fd2y,Fd3y,Fd4y,Fd5y,Fd6y
32,1970,0.0304564330726862,0.0967952609062195,0.0482250079512596,0.0319199673831463,,0,,,,0,0,0,0.0047019999474287,0.0218739993870258,0.0481210015714169,0.00228399992920458,0.0565813109278679,0.0728654786944389,0.100983016192913,0.156321063637733,0.15603694319725,0.135854423046112
32,1971,0.0565813109278679,0.0304564330726862,0.0967952609062195,0.0482250079512596,,0,,,,0,0,0,0.00401500007137656,0.0047019999474287,0.0218739993870258,0.0481210015714169,0.0162841659039259,0.0444017052650452,0.099739745259285,0.0994556248188019,0.0792731121182442,0.148614585399628
32,1972,0.0162841659039259,0.0565813109278679,0.0304564330726862,0.0967952609062195,,1,,,,0,0,0,-0.0104839997366071,0.00401500007137656,0.0047019999474287,0.0218739993870258,0.0281175393611193,0.0834555849432945,0.0831714645028114,0.0629889518022537,0.132330432534218,0.0872691869735718
32,1973,0.0281175393611193,0.0162841659039259,0.0565813109278679,0.0304564330726862,,0,,,,1,0,0,-0.00267699989490211,-0.0104839997366071,0.00401500007137656,0.0047019999474287,0.0553380437195301,0.055053923279047,0.034871406853199,0.104212887585163,0.0591516382992268,0.161379262804985
32,1974,0.0553380437195301,0.0281175393611193,0.0162841659039259,0.0565813109278679,,0,,,,0,1,0,0.0252620000392199,-0.00267699989490211,-0.0104839997366071,0.00401500007137656,-0.000284121022559702,-0.020466635003686,0.0488748475909233,0.00381359830498695,0.106041222810745,0.147558853030205
32,1975,-0.000284121022559702,0.0553380437195301,0.0281175393611193,0.0162841659039259,,1,,,,0,0,1,-0.0126210004091263,0.0252620000392199,-0.00267699989490211,-0.0104839997366071,-0.0201825145632029,0.0491589680314064,0.00409771874547005,0.106325343251228,0.147842973470688,0.0909476950764656
32,1976,-0.0201825145632029,-0.000284121022559702,0.0553380437195301,0.0281175393611193,,0,,,,1,0,0,-0.045524001121521,-0.0126210004091263,0.0252620000392199,-0.00267699989490211,0.0693414807319641,0.0242802314460278,0.126507863402367,0.168025493621826,0.111130215227604,0.0615584291517735
32,1977,0.0693414807319641,-0.0201825145632029,-0.000284121022559702,0.0553380437195301,,1,,,,0,1,0,0.0675989985466003,-0.045524001121521,-0.0126210004091263,0.0252620000392199,-0.0450612492859364,0.0571663789451122,0.0986840054392815,0.0417887270450592,-0.00778305903077126,0.0309681743383408
32,1978,-0.0450612492859364,0.0693414807319641,-0.0201825145632029,-0.000284121022559702,,0,,,,1,0,1,0.0337370000779629,0.0675989985466003,-0.045524001121521,-0.0126210004091263,0.102227628231049,0.143745258450508,0.0868499800562859,0.0372781939804554,0.0760294273495674,0.0981471613049507
32,1979,0.102227628231049,-0.0450612492859364,0.0693414807319641,-0.0201825145632029,,0,,,,0,1,0,0.0426140017807484,0.0337370000779629,0.0675989985466003,-0.045524001121521,0.0415176264941692,-0.015377651900053,-0.0649494379758835,-0.0261982046067715,-0.00408047065138817,-0.0799472481012344
32,1980,0.0415176264941692,0.102227628231049,-0.0450612492859364,0.0693414807319641,,1,,,,0,0,1,0.0185850001871586,0.0426140017807484,0.0337370000779629,0.0675989985466003,-0.0568952783942223,-0.106467068195343,-0.0677158385515213,-0.045598104596138,-0.121464878320694,-0.042707085609436
32,1981,-0.0568952783942223,0.0415176264941692,0.102227628231049,-0.0450612492859364,,0,,,,1,0,0,0.0191019997000694,0.0185850001871586,0.0426140017807484,0.0337370000779629,-0.0495717860758305,-0.0108205527067184,0.0112971812486649,-0.0645695924758911,0.0141882002353668,0.0432881340384483
32,1982,-0.0495717860758305,-0.0568952783942223,0.0415176264941692,0.102227628231049,,0,,,,0,1,0,0.0386399999260902,0.0191019997000694,0.0185850001871586,0.0426140017807484,0.038751233369112,0.0608689673244953,-0.0149978064000607,0.063759982585907,0.0928599163889885,0.067290872335434
32,1983,0.038751233369112,-0.0495717860758305,-0.0568952783942223,0.0415176264941692,,0,,,,0,0,1,-0.091558001935482,0.0386399999260902,0.0191019997000694,0.0185850001871586,0.0221177339553833,-0.0537490397691727,0.0250087529420853,0.0541086867451668,0.0285396389663219,-0.046422254294157
32,1984,0.0221177339553833,0.038751233369112,-0.0495717860758305,-0.0568952783942223,,0,,,,0,0,0,-0.0776060000061989,-0.091558001935482,0.0386399999260902,0.0191019997000694,-0.075866773724556,0.00289101898670197,0.0319909527897835,0.00642190501093864,-0.0685399919748306,-0.0925295799970627
